"Num_Acc";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202400013313";"3";"07";"2024";"01:00";"4";"974";"97415";"2";"1";"1";"7";"165 Chemin des Combavas";" -20,99027400";"55,32642900"
"202400013314";"16";"03";"2024";"12:00";"1";"81";"81099";"2";"1";"1";"1";"23 AVENUE JEAN ROSTAND";"43,91667000";"1,90776800"
"202400013315";"4";"07";"2024";"14:00";"1";"28";"28012";"1";"1";"1";"2";"D927";"48,08409300";"1,12522400"
"202400013316";"16";"03";"2024";"10:50";"1";"47";"47157";"2";"3";"1";"6";"Rue de la République";"44,49750800";"0,16579800"
"202400013317";"4";"07";"2024";"06:00";"2";"974";"97412";"2";"1";"2";"7";"Chemin Francois Cordonin";" -21,34920700";"55,60418300"
"202400013318";"3";"07";"2024";"10:20";"1";"972";"97222";"1";"1";"3";"6";"D1";"14,69142800";" -60,95429400"
"202400013319";"16";"03";"2024";"14:45";"1";"76";"76533";"1";"1";"1";"7";"parc logistique du pont de normandie";"49,47066900";"0,26298500"
"202400013320";"3";"07";"2024";"11:55";"1";"83";"83004";"1";"1";"1";"5";"Dn7";"43,44192873";"6,45858675"
"202400013321";"3";"07";"2024";"17:15";"1";"12";"12113";"1";"1";"1";"1";"D38";"44,25021400";"2,33678300"
"202400013322";"4";"07";"2024";"16:50";"1";"91";"91458";"2";"4";"1";"6";"4 Rue du Bois-Clair";"48,66080900";"2,24238700"
"202400013323";"4";"07";"2024";"20:39";"3";"974";"97414";"2";"1";"1";"6";"N1c";" -21,28265600";"55,39704700"
"202400013324";"4";"07";"2024";"14:00";"1";"50";"50601";"1";"9";"1";"3";"A84, PR 217+900";"48,98074900";" -0,94856900"
"202400013325";"4";"07";"2024";"09:20";"1";"62";"62181";"1";"1";"1";"7";"Rue Principale";"50,16311071";"2,69577813"
"202400013326";"4";"07";"2024";"16:40";"1";"69";"69100";"2";"1";"1";"7";"Route de Brignais";"45,67279800";"4,79624000"
"202400013327";"4";"07";"2024";"13:15";"1";"51";"51440";"1";"6";"1";"3";"Route de Vouziers";"49,30063800";"4,32658000"
"202400013328";"15";"03";"2024";"01:40";"3";"83";"83137";"1";"1";"1";"6";"A50";"43,12647341";"5,89419007"
"202400013329";"3";"07";"2024";"16:30";"1";"51";"51282";"2";"4";"1";"2";"Rue des Sablons";"49,25049400";"3,90732400"
"202400013330";"3";"07";"2024";"13:25";"1";"69";"69012";"1";"1";"2";"7";"296 Route de Chenelette";"46,17391864";"4,54500370"
"202400013331";"15";"03";"2024";"19:50";"2";"33";"33397";"1";"1";"1";"6";"AUTOROUTE A 10";"44,90541000";" -0,49215000"
"202400013332";"4";"07";"2024";"19:40";"1";"63";"63040";"1";"1";"1";"7";"Chemin de la Gourguerie";"45,72155900";"3,31900800"
"202400013333";"4";"07";"2024";"18:00";"1";"42";"42026";"1";"1";"1";"1";"Route de Melay";"46,19025115";"4,07603592"
"202400013334";"1";"07";"2024";"11:00";"1";"34";"34012";"2";"3";"1";"1";"Chemin de Font Mejeanne";"43,70038000";"3,68297900"
"202400013335";"15";"03";"2024";"14:50";"1";"33";"33063";"1";"1";"1";"6";"N/A";"44,88268200";" -0,55169500"
"202400013336";"3";"07";"2024";"18:25";"1";"39";"39269";"1";"3";"8";"5";"N/A";"46,36237400";"5,70693900"
"202400013337";"3";"07";"2024";"23:30";"3";"25";"25278";"1";"1";"1";"6";"D492 PR 48+100";"47,22253700";"6,29643700"
"202400013338";"14";"03";"2024";"09:00";"1";"33";"33550";"1";"1";"1";"2";"N/A";"44,78490000";" -0,54212000"
