"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202400000168";"155781456";"A01";"3";"7";"0";"2";"7";"15";"1";""
"202400000168";"155781457";"B01";"3";"1";"0";"2";"2";"1";"5";""
"202400000169";"155781454";"A01";"2";"2";"0";"2";"8";"15";"1";""
"202400000169";"155781455";"B01";"2";"7";"0";"2";"7";"17";"1";""
"202400000170";"155781452";"B01";"2";"7";"0";"0";"3";"13";"1";""
"202400000170";"155781453";"A01";"1";"7";"0";"0";"3";"16";"1";""
"202400000171";"155781450";"A01";"1";"33";"3";"2";"2";"12";"1";""
"202400000171";"155781451";"B01";"1";"7";"0";"2";"0";"1";"1";""
"202400000172";"155781448";"A01";"2";"7";"0";"2";"1";"3";"1";""
"202400000172";"155781449";"B01";"2";"17";"0";"0";"6";"1";"1";""
"202400000173";"155781446";"A01";"2";"7";"0";"0";"1";"0";"1";""
"202400000174";"155781445";"A01";"1";"7";"0";"0";"1";"1";"1";""
"202400000174";"155781447";"B01";"2";"7";"0";"0";"1";"1";"1";""
"202400000175";"155781442";"A01";"2";"33";"0";"2";"1";"2";"1";""
"202400000175";"155781444";"B01";"2";"7";"0";"2";"4";"2";"1";""
"202400000176";"155781441";"A01";"1";"10";"0";"2";"1";"5";"1";""
"202400000176";"155781443";"B01";"2";"15";"0";"2";"1";"1";"1";""
"202400000177";"155781439";"A01";"2";"10";"0";"2";"1";"1";"1";""
"202400000177";"155781440";"B01";"2";"7";"0";"2";"4";"1";"1";""
"202400000178";"155781437";"A01";"1";"7";"0";"2";"5";"9";"1";""
"202400000178";"155781438";"B01";"1";"7";"0";"2";"3";"1";"2";""
"202400000179";"155781436";"A01";"1";"7";"4";"0";"8";"1";"1";""
"202400000180";"155781435";"A01";"1";"30";"15";"0";"1";"13";"1";""
"202400000181";"155781433";"B01";"3";"50";"0";"2";"8";"25";"3";""
"202400000181";"155781434";"A01";"1";"7";"0";"2";"1";"16";"1";""
"202400000182";"155781431";"B01";"2";"30";"0";"2";"5";"16";"0";""
"202400000182";"155781432";"A01";"2";"7";"0";"2";"6";"15";"1";""
"202400000183";"155781428";"B01";"1";"7";"0";"2";"1";"15";"1";""
