"Num_Acc";"id_usager";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202400003693";"203979864";"155775302";"A01";"10";"3";"4";"1";"1979";"0";"0";" -1";" -1";"5";"9";"1"
"202400003693";"203979865";"155775302";"A01";"1";"1";"1";" -1";"";" -1";" -1";" -1";" -1";" -1";" -1";" -1"
"202400003694";"203979861";"155775301";"A01";"10";"3";"3";"2";"1953";"0";"0";" -1";" -1";"3";"3";"1"
"202400003694";"203979863";"155775301";"A01";"1";"1";"1";"2";"1967";"0";"1";"8";" -1";" -1";" -1";" -1"
"202400003695";"203979858";"155775299";"A01";"10";"3";"4";"1";"1944";"5";"0";" -1";" -1";"3";"3";"1"
"202400003695";"203979860";"155775299";"A01";"1";"1";"1";"2";"1978";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400003696";"203979857";"155775298";"A01";"1";"1";"1";"1";"1975";"4";"1";"8";" -1";" -1";" -1";" -1"
"202400003696";"203979859";"155775300";"B01";"1";"1";"4";"2";"1954";"9";"1";"8";" -1";" -1";" -1";" -1"
"202400003697";"203979853";"155775295";"A01";"1";"1";"4";"1";"1971";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400003697";"203979854";"155775297";"B01";"1";"1";"1";"1";"1995";"5";"2";"0";" -1";" -1";" -1";" -1"
"202400003698";"203979851";"155775294";"A01";"1";"1";"4";"1";"1957";"5";"2";"6";" -1";" -1";" -1";" -1"
"202400003698";"203979852";"155775294";"A01";"2";"2";"4";"2";"1959";"5";"2";"6";" -1";" -1";" -1";" -1"
"202400003698";"203979855";"155775296";"B01";"2";"2";"1";"1";"1970";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400003698";"203979856";"155775296";"B01";"1";"1";"1";"1";"1966";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400003699";"203979847";"155775291";"A01";"1";"1";"4";"1";"1981";"5";"8";"0";" -1";" -1";" -1";" -1"
"202400003699";"203979849";"155775293";"B01";"1";"1";"1";"2";"2005";"2";"1";"0";" -1";" -1";" -1";" -1"
"202400003700";"203979846";"155775290";"A01";"1";"1";"1";" -1";"";" -1";" -1";" -1";" -1";"0";"0";" -1"
